StateFips,StateID,StateName,EorW,NumCounties,HUState
1,AL,Alabama,E,67,1
9,CT,Connecticut,E,8,1
10,DE,Delaware,E,3,1
11,DC,District of Columbia,E,1,1
12,FL,Florida,E,67,1
13,GA,Georgia,E,159,1
15,HI,Hawaii,W,5,1
22,LA,Louisiana,E,64,1
23,ME,Maine,E,16,1
24,MD,Maryland,E,24,1
25,MA,Massachusetts,E,14,1
28,MS,Mississippi,E,82,1
33,NH,New Hampshire,E,10,1
34,NJ,New Jersey,E,21,1
36,NY,New York,E,62,1
37,NC,North Carolina,E,100,1
42,PA,Pennsylvania,E,67,1
44,RI,Rhode Island,E,5,1
45,SC,South Carolina,E,46,1
48,TX,Texas,E,254,1
50,VT,Vermont,E,14,1
51,VA,Virginia,E,134,1
54,WV,West Virginia,E,55,1
