Occupancy,ContentValPct,SortOrder
"AGR1 ",100,28
"COM1 ",100,12
COM10,50,21
"COM2 ",100,13
"COM3 ",100,14
"COM4 ",100,15
"COM5 ",100,16
"COM6 ",150,17
"COM7 ",150,18
"COM8 ",100,19
"COM9 ",100,20
"EDU1 ",100,32
"EDU2 ",150,33
"GOV1 ",100,30
"GOV2 ",150,31
"IND1 ",150,22
"IND2 ",150,23
"IND3 ",150,24
"IND4 ",150,25
"IND5 ",150,26
"IND6 ",100,27
"REL1 ",100,29
"RES1 ",50,1
"RES2 ",50,2
RES3A,50,3
RES3B,50,4
RES3C,50,5
RES3D,50,6
RES3E,50,7
RES3F,50,8
"RES4 ",50,9
"RES5 ",50,10
"RES6 ",50,11
"AGR1 ",100,28
"COM1 ",100,12
COM10,50,21
"COM2 ",100,13
"COM3 ",100,14
"COM4 ",100,15
"COM5 ",100,16
"COM6 ",150,17
"COM7 ",150,18
"COM8 ",100,19
"COM9 ",100,20
"EDU1 ",100,32
"EDU2 ",150,33
"GOV1 ",100,30
"GOV2 ",150,31
"IND1 ",150,22
"IND2 ",150,23
"IND3 ",150,24
"IND4 ",150,25
"IND5 ",150,26
"IND6 ",100,27
"REL1 ",100,29
"RES1 ",50,1
"RES2 ",50,2
RES3A,50,3
RES3B,50,4
RES3C,50,5
RES3D,50,6
RES3E,50,7
RES3F,50,8
"RES4 ",50,9
"RES5 ",50,10
"RES6 ",50,11
